image_name,caption
ILSVRC2012_test_00000003.jpg,A brown and white dog on the green ground
ILSVRC2012_test_00000023.jpg,Two man riding a bike down the street
ILSVRC2012_test_00000025.jpg,A brown butterfly in green plants
ILSVRC2012_test_00000034.jpg,Two white cups
ILSVRC2012_test_00000038.jpg,A person is skiing on the white snowy ground
ILSVRC2012_test_00000064.jpg,A bird on a branch
ILSVRC2012_test_00000086.jpg,A brown and white deer on green grass
ILSVRC2012_test_00000105.jpg,A black and brown bird on a green branch
ILSVRC2012_test_00000128.jpg,A man in a red headband and a blue shirt is blowing a golden instrument
ILSVRC2012_test_00000131.jpg,"A big white bird next to a grey bird, and a smaller white bird standing near the water"
ILSVRC2012_test_00000138.jpg,A snail on a reddish brown surface
ILSVRC2012_test_00000142.jpg,A brown and grey turtle
ILSVRC2012_test_00000153.jpg,A brown and white bird with a yellow beak is on a branch
ILSVRC2012_test_00000184.jpg,Two white and black and brown dogs
ILSVRC2012_test_00000196.jpg,An ant with wings
ILSVRC2012_test_00000205.jpg,A woman in a black pair of sunglasses
ILSVRC2012_test_00000215.jpg,A brown bird standing on the dry grass
ILSVRC2012_test_00000224.jpg,A man in white shirt is on a balance beam
ILSVRC2012_test_00000232.jpg,A woman in a blue swimming cap and a blue swimsuit with colorful patterns
ILSVRC2012_test_00000256.jpg,A grey and blue bird on a branch
ILSVRC2012_test_00000262.jpg,A woman and a man sitting on chairs
ILSVRC2012_test_00000278.jpg,A reddish brown and black ant
ILSVRC2012_test_00000284.jpg,A colorful bird is eating a fruit
ILSVRC2012_test_00000307.jpg,A woman in red and blue clothes is holding a black dog on a white boat
ILSVRC2012_test_00000311.jpg,Two women standinig in the middle of two men
ILSVRC2012_test_00000320.jpg,A white dog and a woman in black clothes
ILSVRC2012_test_00000324.jpg,A white and brown dog
ILSVRC2012_test_00000355.jpg,A grey bird with white and brown markings
ILSVRC2012_test_00000365.jpg,A lizard on the stone
ILSVRC2012_test_00000378.jpg,A brown and white dog with an orange collar
ILSVRC2012_test_00000382.jpg,A grey monkey
ILSVRC2012_test_00000401.jpg,A dog on the green grassland
ILSVRC2012_test_00000421.jpg,A grey and greenish yellow and brown animal
ILSVRC2012_test_00000422.jpg,Three black and silver spoons beside a black and silver brush
ILSVRC2012_test_00000425.jpg,A rid on a branch
ILSVRC2012_test_00000445.jpg,A brown and white dog beside a woman in pink colthes
ILSVRC2012_test_00000446.jpg,A bicycle in the mud
ILSVRC2012_test_00000448.jpg,A beige and black dog and a black and white dog
ILSVRC2012_test_00000449.jpg,Two men in dark blue and shallow cyan rain coats
ILSVRC2012_test_00000453.jpg,A white and brown dog with its tongue out is wearing blue and black shoes
ILSVRC2012_test_00000473.jpg,Two black and brown birds with a white background
ILSVRC2012_test_00000487.jpg,A brown and black and white dog on a red chair
ILSVRC2012_test_00000498.jpg,A white and black duck with a black and grey and white duck behind
ILSVRC2012_test_00000504.jpg,A white and grey dog on green grass
ILSVRC2012_test_00000529.jpg,A snake
ILSVRC2012_test_00000549.jpg,Two camels
ILSVRC2012_test_00000555.jpg,A greyish white and black bird perched on a branch
ILSVRC2012_test_00000558.jpg,A white and black bird on a branch
ILSVRC2012_test_00000568.jpg,A white bird with a long neck and a yellow beak
ILSVRC2012_test_00000587.jpg,A man with a beige and grey dog
ILSVRC2012_test_00000591.jpg,A black and grey dog
ILSVRC2012_test_00000606.jpg,A black monkey
ILSVRC2012_test_00000613.jpg,A sailboat
ILSVRC2012_test_00000616.jpg,A grey fox on a slope covered by dry grass
