image_name,caption
ILSVRC2012_test_00000004.jpg,A brown dog on the green grass
ILSVRC2012_test_00000018.jpg,Four children beside the water
ILSVRC2012_test_00000019.jpg,A black and white bird on the green branch
ILSVRC2012_test_00000022.jpg,A white and brown dog beside the water
ILSVRC2012_test_00000072.jpg,Two dogs
ILSVRC2012_test_00000082.jpg,A man in black clothes and a woman in white clothes
ILSVRC2012_test_00000108.jpg,A snake
ILSVRC2012_test_00000130.jpg,A yellow pillbug
ILSVRC2012_test_00000172.jpg,A white and brown dog with two black dogs on the grass
ILSVRC2012_test_00000181.jpg,Two white and black penguins
ILSVRC2012_test_00000198.jpg,Two people on a white boat
ILSVRC2012_test_00000237.jpg,A blue and white car
ILSVRC2012_test_00000250.jpg,A bird standing in water beside the grass
ILSVRC2012_test_00000305.jpg,A lot of green figs are in a wooden bowl
ILSVRC2012_test_00000322.jpg,A brown bird standing in water
ILSVRC2012_test_00000340.jpg,Two piled orange bowls with white patterns on it
ILSVRC2012_test_00000363.jpg,A black car on the road
ILSVRC2012_test_00000394.jpg,A bird standing on the ground
ILSVRC2012_test_00000413.jpg,A bird on the branch
ILSVRC2012_test_00000415.jpg,A moth on purple flowers
ILSVRC2012_test_00000423.jpg,A brown cat in a bag
ILSVRC2012_test_00000450.jpg,A black dog lying on the grass
ILSVRC2012_test_00000465.jpg,A black and white panda holding a brown box on the grass
ILSVRC2012_test_00000501.jpg,A black duck in water
ILSVRC2012_test_00000517.jpg,A bird on green grass
ILSVRC2012_test_00000537.jpg,A brown and white dog on grass
ILSVRC2012_test_00000592.jpg,A brown and white dog 
ILSVRC2012_test_00000626.jpg,A bird with a red head
ILSVRC2012_test_00000628.jpg,A black and brown dog on grey surface
ILSVRC2012_test_00000645.jpg,A person in black shirt holding a snake
ILSVRC2012_test_00000648.jpg,A black and white dog on grass
ILSVRC2012_test_00000658.jpg,A persion in red shirt playing guitar
ILSVRC2012_test_00000659.jpg,Two birds on dry grass
ILSVRC2012_test_00000671.jpg,A white and brown dog standing on the beach
ILSVRC2012_test_00000678.jpg,A child sitting on the cushion
ILSVRC2012_test_00000680.jpg,A man holding a black and red drill
ILSVRC2012_test_00000692.jpg,A rabbit on the grass
ILSVRC2012_test_00000736.jpg,Two green fruits with red top
ILSVRC2012_test_00000764.jpg,A black dog with red collar and a tennis ball in its mouth
ILSVRC2012_test_00000767.jpg,A lizard on rocky surface
ILSVRC2012_test_00000770.jpg,A brown and white monkey
ILSVRC2012_test_00000815.jpg,A brown dog
ILSVRC2012_test_00000817.jpg,A metal and glass container on white surface
ILSVRC2012_test_00000909.jpg,A snake 
ILSVRC2012_test_00000921.jpg,A black and white boat
ILSVRC2012_test_00000933.jpg,A man blowing a sax
ILSVRC2012_test_00000946.jpg,A glass container with yellow liquid in it
ILSVRC2012_test_00001011.jpg,A black dog on the ground
ILSVRC2012_test_00001021.jpg,A white and black hedgehog
ILSVRC2012_test_00001022.jpg,A woman in white shirt and blue skirt
ILSVRC2012_test_00001032.jpg,A white doll and a cyan and white doll are on two silver pots
ILSVRC2012_test_00001034.jpg,A bird flying over a bird
ILSVRC2012_test_00001048.jpg,A baby wearing a colorful diaper
ILSVRC2012_test_00001051.jpg,A black bear
ILSVRC2012_test_00001053.jpg,A grey blue parrot
ILSVRC2012_test_00001058.jpg,A brown alpaca
ILSVRC2012_test_00001088.jpg,A brown animal on a log
ILSVRC2012_test_00001147.jpg,A black and brown dog on green plants
ILSVRC2012_test_00001155.jpg,A beige dog 
ILSVRC2012_test_00001213.jpg,A black dog and a white dog on the grass
ILSVRC2012_test_00001227.jpg,A white plant 
ILSVRC2012_test_00001301.jpg,A black and white football
ILSVRC2012_test_00001317.jpg,A man holding a black dog
ILSVRC2012_test_00001364.jpg,A brown dog on grass
ILSVRC2012_test_00001436.jpg,A red and blue lizard on the rock
ILSVRC2012_test_00001446.jpg,"A man in black clotehs, one man in black clothes and white headband holding a ball"
ILSVRC2012_test_00001483.jpg,A brown and white dog 
ILSVRC2012_test_00001492.jpg,A bird on rocky surface
ILSVRC2012_test_00001497.jpg,A chisel on the ground
ILSVRC2012_test_00001504.jpg,A black and white bird on water
ILSVRC2012_test_00001509.jpg,A brown bird on the branch over white snow
ILSVRC2012_test_00001543.jpg,A brown cat
ILSVRC2012_test_00001591.jpg,A brown animal on grass
ILSVRC2012_test_00001625.jpg,A bird on the dirt
ILSVRC2012_test_00001665.jpg,Two people blowing flutes
ILSVRC2012_test_00001693.jpg,A white and grey dog
ILSVRC2012_test_00001694.jpg,A white dog sitting on snow
ILSVRC2012_test_00001734.jpg,A shell of a snail on the branch
ILSVRC2012_test_00001767.jpg,A brown dog on the grass
ILSVRC2012_test_00001788.jpg,A purple flower in lush green plants 
ILSVRC2012_test_00001810.jpg,A rooster on the ground
ILSVRC2012_test_00001846.jpg,Three rays
ILSVRC2012_test_00001890.jpg,A green frog on wooden surface
ILSVRC2012_test_00001891.jpg,A brown bird
ILSVRC2012_test_00001911.jpg,Two brown dogs on grass
ILSVRC2012_test_00001916.jpg,A brown and black dog beside a person
ILSVRC2012_test_00002031.jpg,A person in grey shirt
ILSVRC2012_test_00002324.jpg,A black turtle in the blue water
ILSVRC2012_test_00002338.jpg,A brown dog next to a black dog
ILSVRC2012_test_00002341.jpg,Two red and white mushrooms in dry grass
ILSVRC2012_test_00002516.jpg,Two black and white ducks
ILSVRC2012_test_00002586.jpg,A metal pot in white snow beside the wall
ILSVRC2012_test_00002588.jpg,Two black cattle standing on grassy slope
