,caption,image_name
0,a blue and white swimming pool,sun_blznlpkvkgmbqnfy.jpg
1,a white and blue and white truck,sun_aoyeaarydlnyjiww.jpg
2,a white sign board with black characters on it,sun_aotokqpclkbosefm.jpg
3,a yellow and green tent,sun_acwmznaxfvqxknly.jpg
4,a blue and white and blue and red car,sun_bjmxenvdofbghtrp.jpg
5,a blue and white tent,sun_blmgvvckorrkddti.jpg
6,a greenish green and brown and white flower,sun_bzyuurxfnrimkjtv.jpg
7,a man in red shirt and a man in black shirt and a man in blue shirt and a black cap,sun_acberrmnocrauoxx.jpg
8,a man in a red sleeveless shirt and a black and grey pants,sun_adgnuywlopcsczbd.jpg
9,a woman in black and brown clothes holding a black instrument,sun_axwatbqwmbdrzvwz.jpg
10,a man in red and black clothes and a woman in red clothes,sun_btywvaekjxksqysu.jpg
11,a woman in white shirt,sun_bucfgnifiwnlrtsa.jpg
12,a pink pig,sun_baydlzlmjpmywuak.jpg
13,a man in blue clothes and a child in blue clothes sitting on the ground,sun_brunvgswczsbyzkp.jpg
14,a blue and white car,sun_alcgujlofxysqtmn.jpg
15,a white and red flag,sun_ajhgqmxjqmwtfdfz.jpg
16,a man in black clothes standing beside a black tent,sun_aqupknowrmgvsacn.jpg
17,a woman in black clothes,sun_bbibswmzalgvvdbt.jpg
18,a man in a reddish brown suit and a black hat is holding a black and brown and black dog,sun_bdnfwkbcqrmlfhuw.jpg
19,a man in white shirt and a black tie is holding a white and black bag,sun_bxkeanmkoicujqdm.jpg
20,a man in red shirt and a white hat is holding a white and black bag,sun_anvvbkiqyybrgvhr.jpg
21,a white house with a white roof,sun_bahedjlmtqekgyvj.jpg
22,a man in black shirt and a man in black shirt,sun_anjpadmirzbqjhfz.jpg
23,a woman in black shirt sitting beside a man in black shirt,sun_ajnvhlijauzfurcx.jpg
24,a green and yellow car,sun_aqkrqogorxwfdvct.jpg
25,a man in blue shirt and a black and grey cap,sun_aruvbcrmzlzbwiom.jpg
26,a white and grey architecture,sun_abocynwezcjtoeoz.jpg
27,a brown and white and black chair,sun_aeekutazzuomvxxg.jpg
28,a man in black coat and a black backpack,sun_aeagjzmgsjgayydy.jpg
29,a white house,sun_azpaealsluourswk.jpg
30,a green and white sign board with red and white patterns,sun_btznjcyqhogrgupc.jpg
31,a man in green shirt and a woman in green shirt,sun_bydudghmsjuwkngm.jpg
32,a man in white shirt,sun_aezztgijequokyza.jpg
33,a man in grey shirt and a black backpack,sun_aesddxfefrwxjvgt.jpg
34,a man in grey shirt sitting on a chair,sun_ahkxdvluzgsnnsun.jpg
35,a blue tent,sun_agkkwdplcgeuaqxd.jpg
36,a person in black clothes and a black helmet,sun_aisrgzazogatmizy.jpg
37,a white and grey whale,sun_aojrtoikxmtgzchi.jpg
38,a red and black train with a red roof,sun_arxxiaqkixigdstc.jpg
39,a person in a yellow helmet is riding a monocycle,sun_affayidrovxgnqjs.jpg
40,a blue swimming pool,sun_bxbgbiaelxyyfwxj.jpg
41,a woman in pink clothes,sun_bgnnsgcgurwzvlne.jpg
42,a woman in red and white clothes and a man in red shirt,sun_auvvhphbgaumpfui.jpg
43,a white cabinet with a white cabinet,sun_acgzghzneaxxcdgd.jpg
44,a woman in pink clothes,sun_bqgvnaeidrgmzwqi.jpg
45,a green sign board with white characters on it,sun_bgstndihgddimjcb.jpg
46,a big grey building with a big grey roof,sun_blmorznkavhpwnge.jpg
47,a white snake,sun_adxufojfvqlkwzsh.jpg
48,a grey and brown house,sun_bypqopzxfrduvymx.jpg
49,a red door,sun_afmwudoozadhcjre.jpg
50,a brown and black and white excavator,sun_bxgxhhnfcsxvzddl.jpg
51,a man in a white shirt and a black sunglasses,sun_aytpqeenoriiyjgs.jpg
52,a white and grey waterfall,sun_asrbynnbrgqkdaux.jpg
